Crop,Symptoms,Disease,Severity
Tomato,Fruit discoloration,Late Blight,Medium
Wheat,"Yellow leaves, White powder on leaves, Leaf curl",Powdery Mildew,Medium
Tomato,"Water-soaked patches, Black lesions",Late Blight,Medium
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves",Powdery Mildew,Low
Mango,"Fruit discoloration, Yellow leaves",Powdery Mildew,High
Cotton,"Wilting stems, Stunted growth",Wilt,Low
Banana,Brown spots on leaves,Black Sigatoka,High
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Groundnut,Yellow leaves,Leaf Spot,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Soybean,"Root rot, Wilting stems",Root Rot,Medium
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,Medium
Soybean,Rusty orange pustules,Rust,Critical
Cotton,Premature fruit drop,Bacterial Blight,High
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Medium
Cotton,"Wilting stems, Yellow leaves, Stunted growth",Wilt,Medium
Tomato,"Leaf curl, Yellow leaves, Brown spots on leaves",Leaf Curl,Medium
Mango,"Black lesions, Fruit discoloration",Anthracnose,Low
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Medium
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Low
Sugarcane,"Wilting stems, Stunted growth",Red Rot,High
Rice,"Water-soaked patches, Yellow leaves, Wilting stems",Bacterial Blight,High
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Low
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Critical
Soybean,Rusty orange pustules,Rust,High
Cotton,"Stunted growth, Wilting stems, Leaf curl",Wilt,High
Banana,Premature fruit drop,Black Sigatoka,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,High
Sugarcane,Stunted growth,Red Rot,Medium
Sugarcane,"Wilting stems, Yellow leaves, Stunted growth",Red Rot,High
Groundnut,"Premature fruit drop, Fruit discoloration",Leaf Spot,Medium
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Medium
Banana,"Yellow leaves, Root rot",Panama Disease,Medium
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,High
Maize,Rusty orange pustules,Common Rust,High
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Critical
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,Critical
Groundnut,Brown spots on leaves,Leaf Spot,Critical
Rice,"Water-soaked patches, Yellow leaves",Bacterial Blight,Low
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,Critical
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,Low
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Medium
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Grapes,"Stunted growth, Fruit discoloration, Water-soaked patches",Powdery Mildew,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Medium
Groundnut,"Brown spots on leaves, Yellow leaves",Leaf Spot,Medium
Grapes,White powder on leaves,Powdery Mildew,High
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Low
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Medium
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,Critical
Potato,Black lesions,Black Scurf,Medium
Rice,"Black lesions, Stunted growth",Blast,Critical
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Critical
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,High
Mango,"Black lesions, Rusty orange pustules",Anthracnose,High
Rice,Yellow leaves,Brown Spot,Low
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Medium
Groundnut,Rusty orange pustules,Rust,High
Cotton,Yellow leaves,Wilt,Low
Potato,Brown spots on leaves,Early Blight,High
Cotton,"Wilting stems, Stunted growth, Yellow leaves, Rusty orange pustules",Wilt,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,Medium
Grapes,"Yellow leaves, Fruit discoloration",Downy Mildew,Low
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves",Powdery Mildew,Medium
Rice,Brown spots on leaves,Blast,Low
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,High
Sugarcane,Wilting stems,Red Rot,High
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Critical
Soybean,"Wilting stems, Root rot",Root Rot,High
Mango,White powder on leaves,Powdery Mildew,High
Cotton,Black lesions,Bacterial Blight,High
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,High
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop, Stunted growth",Downy Mildew,High
Groundnut,Premature fruit drop,Rust,High
Rice,Yellow leaves,Brown Spot,Critical
Soybean,Yellow leaves,Rust,High
Cotton,Premature fruit drop,Bacterial Blight,Medium
Tomato,Stunted growth,Leaf Curl,Low
Rice,Yellow leaves,Bacterial Blight,Low
Cotton,Wilting stems,Wilt,High
Rice,"Brown spots on leaves, Black lesions",Blast,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Potato,Wilting stems,Late Blight,Low
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,High
Mango,Black lesions,Anthracnose,High
Soybean,"Root rot, Rusty orange pustules",Root Rot,Low
Wheat,Rusty orange pustules,Leaf Rust,Medium
Grapes,"White powder on leaves, Premature fruit drop, Yellow leaves",Downy Mildew,Low
Groundnut,Premature fruit drop,Leaf Spot,Critical
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Cotton,"Wilting stems, Stunted growth",Wilt,High
Groundnut,Premature fruit drop,Rust,Medium
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,Low
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Sugarcane,Rusty orange pustules,Rust,Low
Grapes,Premature fruit drop,Downy Mildew,High
Soybean,"Rusty orange pustules, Yellow leaves",Rust,Low
Mango,"Premature fruit drop, Fruit discoloration, Black lesions",Anthracnose,Low
Wheat,White powder on leaves,Powdery Mildew,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Potato,"Stunted growth, Black lesions",Black Scurf,Low
Mango,"Fruit discoloration, Premature fruit drop",Powdery Mildew,Low
Rice,"Stunted growth, Black lesions, Brown spots on leaves",Blast,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Banana,"Yellow leaves, Root rot",Panama Disease,High
Sugarcane,"Stunted growth, Wilting stems, Brown spots on leaves",Red Rot,Low
Maize,"Wilting stems, Black lesions, Yellow leaves, Premature fruit drop",Leaf Blight,Critical
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,Critical
Sugarcane,Rusty orange pustules,Rust,Low
Mango,Fruit discoloration,Powdery Mildew,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Maize,"Yellow leaves, Black lesions",Leaf Blight,Low
Tomato,"Fruit discoloration, Water-soaked patches, Black lesions",Late Blight,High
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Water-soaked patches",Rust,High
Grapes,Premature fruit drop,Downy Mildew,Medium
Mango,"Fruit discoloration, Black lesions, Premature fruit drop",Anthracnose,Medium
Soybean,"Yellow leaves, Rusty orange pustules",Rust,High
Potato,"Water-soaked patches, Wilting stems, Black lesions",Late Blight,High
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,Low
Cotton,Premature fruit drop,Bacterial Blight,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Tomato,"Stunted growth, Leaf curl, Yellow leaves",Leaf Curl,Low
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Rice,"Wilting stems, Yellow leaves",Bacterial Blight,Low
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,High
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Medium
Soybean,"Stunted growth, Root rot, Wilting stems",Root Rot,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,High
Tomato,"Stunted growth, Leaf curl, Rusty orange pustules",Leaf Curl,Low
Rice,"Black lesions, Brown spots on leaves, Stunted growth, White powder on leaves",Blast,Critical
Banana,Root rot,Panama Disease,High
Groundnut,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Leaf Spot,High
Potato,Black lesions,Late Blight,Critical
Sugarcane,Brown spots on leaves,Rust,High
Maize,Wilting stems,Leaf Blight,Medium
Mango,"Fruit discoloration, Premature fruit drop",Powdery Mildew,Critical
Tomato,"Leaf curl, Stunted growth, Yellow leaves, Wilting stems",Leaf Curl,Low
Mango,"White powder on leaves, Fruit discoloration, Yellow leaves",Powdery Mildew,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Low
Soybean,"Wilting stems, Stunted growth",Root Rot,Low
Soybean,Yellow leaves,Rust,Critical
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,Low
Cotton,Yellow leaves,Wilt,High
Banana,"Root rot, Leaf curl",Panama Disease,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Critical
Grapes,White powder on leaves,Powdery Mildew,Medium
Groundnut,Premature fruit drop,Rust,Critical
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Low
Sugarcane,Stunted growth,Red Rot,Critical
Banana,"Root rot, Yellow leaves, Wilting stems, Black lesions",Panama Disease,Critical
Banana,"Root rot, Yellow leaves",Panama Disease,Medium
Rice,Yellow leaves,Brown Spot,Low
Groundnut,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Leaf Spot,Medium
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Medium
Cotton,Premature fruit drop,Bacterial Blight,Low
Wheat,Yellow leaves,Leaf Rust,High
Soybean,"Rusty orange pustules, Premature fruit drop, Water-soaked patches",Rust,Critical
Maize,"Rusty orange pustules, Brown spots on leaves, Wilting stems",Common Rust,High
Sugarcane,"Rusty orange pustules, Black lesions",Rust,Critical
Sugarcane,Stunted growth,Red Rot,Medium
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Tomato,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Early Blight,Medium
Potato,Water-soaked patches,Late Blight,Critical
Groundnut,Premature fruit drop,Leaf Spot,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Critical
Rice,Brown spots on leaves,Brown Spot,Low
Groundnut,Brown spots on leaves,Leaf Spot,High
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,High
Tomato,Premature fruit drop,Early Blight,Medium
Sugarcane,Yellow leaves,Red Rot,Low
Sugarcane,Stunted growth,Red Rot,Critical
Cotton,"Premature fruit drop, Water-soaked patches",Bacterial Blight,High
Tomato,Water-soaked patches,Late Blight,Low
Potato,Black lesions,Late Blight,Medium
Cotton,"Premature fruit drop, Water-soaked patches",Bacterial Blight,Medium
Mango,Fruit discoloration,Anthracnose,Critical
Tomato,"Stunted growth, Yellow leaves, Fruit discoloration",Leaf Curl,Medium
Tomato,"Fruit discoloration, Water-soaked patches",Late Blight,Medium
Mango,"Black lesions, Premature fruit drop",Anthracnose,Low
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Low
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules, Stunted growth",Rust,Medium
Banana,Wilting stems,Panama Disease,Medium
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves",Downy Mildew,Medium
Grapes,White powder on leaves,Downy Mildew,Low
Banana,"Root rot, Wilting stems",Panama Disease,High
Sugarcane,Rusty orange pustules,Rust,High
Grapes,"Stunted growth, Fruit discoloration, White powder on leaves, Leaf curl",Powdery Mildew,Critical
Mango,"Fruit discoloration, Black lesions",Anthracnose,Low
Soybean,Yellow leaves,Rust,Low
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,High
Soybean,"Root rot, Stunted growth",Root Rot,Critical
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,High
Banana,"Wilting stems, Leaf curl",Panama Disease,Medium
Potato,Water-soaked patches,Late Blight,Medium
Groundnut,Premature fruit drop,Leaf Spot,Low
Potato,Yellow leaves,Early Blight,Critical
Grapes,"White powder on leaves, Stunted growth, Black lesions",Powdery Mildew,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Potato,"Water-soaked patches, Black lesions",Late Blight,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Grapes,Yellow leaves,Downy Mildew,Medium
Maize,Rusty orange pustules,Common Rust,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Medium
Soybean,Root rot,Root Rot,Critical
Maize,"Black lesions, Yellow leaves",Leaf Blight,High
Banana,"Brown spots on leaves, Black lesions",Black Sigatoka,Critical
Cotton,"Black lesions, Water-soaked patches, Premature fruit drop",Bacterial Blight,Low
Potato,"Wilting stems, Water-soaked patches",Late Blight,Low
Cotton,"Premature fruit drop, Water-soaked patches, Black lesions",Bacterial Blight,High
Tomato,Premature fruit drop,Early Blight,Low
Soybean,Wilting stems,Root Rot,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,High
Rice,"Wilting stems, Yellow leaves",Bacterial Blight,Low
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,High
Maize,"Wilting stems, Black lesions, Yellow leaves, Leaf curl",Leaf Blight,Critical
Soybean,Stunted growth,Root Rot,Low
Rice,"Wilting stems, Yellow leaves, Water-soaked patches",Bacterial Blight,Medium
Tomato,"Yellow leaves, Premature fruit drop, Stunted growth",Early Blight,High
Groundnut,Rusty orange pustules,Rust,Medium
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Critical
Grapes,White powder on leaves,Powdery Mildew,Critical
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,Critical
Grapes,"Stunted growth, White powder on leaves",Powdery Mildew,Medium
Mango,Fruit discoloration,Anthracnose,Medium
Cotton,Black lesions,Bacterial Blight,High
Rice,"Yellow leaves, Water-soaked patches",Bacterial Blight,Medium
Wheat,Yellow leaves,Root Rot,High
Banana,"Premature fruit drop, Brown spots on leaves, Rusty orange pustules",Black Sigatoka,High
Maize,Brown spots on leaves,Common Rust,Critical
Sugarcane,Rusty orange pustules,Rust,Medium
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,Low
Wheat,Yellow leaves,Powdery Mildew,High
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,Low
Grapes,White powder on leaves,Powdery Mildew,Medium
Grapes,"White powder on leaves, Stunted growth, Brown spots on leaves",Powdery Mildew,Critical
Grapes,White powder on leaves,Powdery Mildew,Critical
Rice,Brown spots on leaves,Brown Spot,Low
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Low
Wheat,White powder on leaves,Powdery Mildew,High
Rice,Yellow leaves,Brown Spot,High
Cotton,"Premature fruit drop, Water-soaked patches, Black lesions, Yellow leaves",Bacterial Blight,Medium
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,Low
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Low
Maize,"Wilting stems, Black lesions",Leaf Blight,Critical
Wheat,"Yellow leaves, White powder on leaves",Leaf Rust,Critical
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Potato,Brown spots on leaves,Early Blight,Critical
Banana,Black lesions,Black Sigatoka,Critical
Banana,"Wilting stems, Yellow leaves, Fruit discoloration",Panama Disease,Critical
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,High
Tomato,"Leaf curl, Yellow leaves",Leaf Curl,Critical
Potato,"Stunted growth, Black lesions",Black Scurf,Critical
Groundnut,"Premature fruit drop, Black lesions",Rust,Critical
Groundnut,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Leaf Spot,Low
Groundnut,Yellow leaves,Leaf Spot,High
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Critical
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,High
Soybean,"Stunted growth, Root rot, Wilting stems",Root Rot,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Maize,"Black lesions, Wilting stems, Yellow leaves, Premature fruit drop",Leaf Blight,Critical
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,Medium
Soybean,"Yellow leaves, Premature fruit drop",Rust,Critical
Mango,"Fruit discoloration, White powder on leaves, Yellow leaves",Powdery Mildew,Medium
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Critical
Cotton,"Yellow leaves, Wilting stems",Wilt,Medium
Tomato,"Yellow leaves, Leaf curl",Leaf Curl,Low
Potato,"Water-soaked patches, Wilting stems",Late Blight,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Cotton,"Yellow leaves, Stunted growth, Wilting stems",Wilt,Low
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,High
Cotton,Yellow leaves,Wilt,Low
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Tomato,"Leaf curl, Yellow leaves, Stunted growth",Leaf Curl,Critical
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,High
Sugarcane,Brown spots on leaves,Rust,Critical
Banana,Root rot,Panama Disease,Medium
Mango,Fruit discoloration,Powdery Mildew,Critical
Mango,"Black lesions, Fruit discoloration, Premature fruit drop, Wilting stems",Anthracnose,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,High
Potato,Stunted growth,Black Scurf,Medium
Sugarcane,Wilting stems,Red Rot,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Low
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,High
Banana,"Yellow leaves, Wilting stems, Root rot, White powder on leaves",Panama Disease,High
Mango,Fruit discoloration,Powdery Mildew,Low
Sugarcane,Wilting stems,Red Rot,Low
Soybean,"Root rot, Stunted growth",Root Rot,High
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Low
Groundnut,Premature fruit drop,Rust,Critical
Banana,"Yellow leaves, Wilting stems",Panama Disease,High
Potato,"Wilting stems, Water-soaked patches, Black lesions",Late Blight,Medium
Potato,"Stunted growth, Black lesions",Black Scurf,Low
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Potato,Brown spots on leaves,Early Blight,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Soybean,"Yellow leaves, Premature fruit drop",Rust,Low
Rice,"Black lesions, Stunted growth, Brown spots on leaves, Root rot",Blast,High
Cotton,Water-soaked patches,Bacterial Blight,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Critical
Cotton,"Black lesions, Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Wheat,Yellow leaves,Leaf Rust,Medium
Rice,"Wilting stems, Yellow leaves, Water-soaked patches, Leaf curl",Bacterial Blight,Medium
Mango,Premature fruit drop,Anthracnose,Critical
Banana,Black lesions,Black Sigatoka,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Mango,"Premature fruit drop, Black lesions",Anthracnose,Critical
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Medium
Cotton,Wilting stems,Wilt,High
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,High
Wheat,White powder on leaves,Powdery Mildew,Medium
Groundnut,Rusty orange pustules,Rust,Critical
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,High
Maize,"Wilting stems, Black lesions, Water-soaked patches",Leaf Blight,Critical
Maize,"Wilting stems, White powder on leaves",Leaf Blight,Critical
Potato,"Stunted growth, Black lesions",Black Scurf,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Maize,"Black lesions, White powder on leaves",Leaf Blight,Medium
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,Critical
Rice,"Yellow leaves, Wilting stems",Bacterial Blight,Low
Grapes,"Fruit discoloration, Black lesions",Powdery Mildew,Medium
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Medium
Sugarcane,Yellow leaves,Red Rot,High
Rice,"Yellow leaves, Water-soaked patches, Wilting stems",Bacterial Blight,Low
Cotton,Water-soaked patches,Bacterial Blight,Critical
Groundnut,Premature fruit drop,Rust,Critical
Cotton,Water-soaked patches,Bacterial Blight,High
Cotton,"Water-soaked patches, Black lesions, Premature fruit drop",Bacterial Blight,Medium
Tomato,Water-soaked patches,Late Blight,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Critical
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves",Downy Mildew,High
Soybean,"Yellow leaves, Premature fruit drop",Rust,Critical
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Low
Rice,"Stunted growth, Black lesions",Blast,Medium
Groundnut,"Yellow leaves, Premature fruit drop, Fruit discoloration",Leaf Spot,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Soybean,"Premature fruit drop, Root rot",Rust,Critical
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Low
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Low
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Low
Maize,"Yellow leaves, Wilting stems",Leaf Blight,Critical
Potato,"Stunted growth, Black lesions, Wilting stems",Black Scurf,Low
Tomato,Premature fruit drop,Early Blight,Low
Tomato,"Water-soaked patches, Fruit discoloration, Black lesions",Late Blight,Medium
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Low
Maize,"Brown spots on leaves, Rusty orange pustules, Fruit discoloration",Common Rust,Medium
Tomato,"Black lesions, Water-soaked patches, Fruit discoloration, Leaf curl",Late Blight,Critical
Groundnut,Premature fruit drop,Rust,Critical
Tomato,"Yellow leaves, Water-soaked patches",Leaf Curl,High
Soybean,"Premature fruit drop, Yellow leaves",Rust,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,High
Mango,Fruit discoloration,Powdery Mildew,Critical
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Low
Banana,Black lesions,Black Sigatoka,Critical
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Low
Rice,"Wilting stems, Water-soaked patches",Bacterial Blight,Low
Wheat,"Rusty orange pustules, Yellow leaves, Black lesions",Leaf Rust,Critical
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Low
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Soybean,"Rusty orange pustules, Premature fruit drop, Yellow leaves",Rust,High
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,High
Cotton,Water-soaked patches,Bacterial Blight,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Critical
Tomato,"Yellow leaves, Premature fruit drop",Early Blight,High
Rice,Water-soaked patches,Bacterial Blight,Low
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Critical
Rice,"Black lesions, Brown spots on leaves, Stunted growth",Blast,High
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,Medium
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Critical
Grapes,"White powder on leaves, Yellow leaves, Premature fruit drop, Rusty orange pustules",Downy Mildew,High
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems, Rusty orange pustules",Red Rot,High
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,High
Tomato,"Black lesions, Water-soaked patches, Fruit discoloration",Late Blight,High
Banana,Black lesions,Black Sigatoka,Low
Groundnut,Premature fruit drop,Rust,Medium
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,Medium
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves",Downy Mildew,Medium
Cotton,Wilting stems,Wilt,Critical
Wheat,Yellow leaves,Powdery Mildew,Critical
Tomato,Black lesions,Late Blight,Critical
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Grapes,Yellow leaves,Downy Mildew,Critical
Grapes,Premature fruit drop,Downy Mildew,Low
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Wheat,"Root rot, Yellow leaves",Root Rot,High
Rice,Black lesions,Blast,High
Potato,"Brown spots on leaves, Yellow leaves, Rusty orange pustules",Early Blight,Critical
Rice,"Water-soaked patches, Yellow leaves",Bacterial Blight,Critical
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Maize,"Yellow leaves, Wilting stems, Leaf curl",Leaf Blight,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,High
Soybean,"Premature fruit drop, Rusty orange pustules, Yellow leaves",Rust,Low
Mango,"Premature fruit drop, Black lesions, Water-soaked patches",Anthracnose,Medium
Rice,Water-soaked patches,Bacterial Blight,Critical
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,Low
Cotton,"Yellow leaves, Premature fruit drop",Wilt,High
Sugarcane,Rusty orange pustules,Rust,Medium
Potato,Black lesions,Late Blight,Medium
Potato,Brown spots on leaves,Early Blight,High
Maize,Brown spots on leaves,Common Rust,High
Maize,"Wilting stems, Yellow leaves",Leaf Blight,Low
Rice,Brown spots on leaves,Brown Spot,Critical
Wheat,Yellow leaves,Leaf Rust,Critical
Wheat,Yellow leaves,Leaf Rust,Low
Potato,Black lesions,Black Scurf,Medium
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Maize,"Black lesions, Yellow leaves, Wilting stems",Leaf Blight,Critical
Rice,"Yellow leaves, Brown spots on leaves, Premature fruit drop",Brown Spot,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Rice,"Yellow leaves, Wilting stems",Brown Spot,Medium
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,High
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,High
Cotton,"Premature fruit drop, Black lesions, Wilting stems",Bacterial Blight,Low
Mango,White powder on leaves,Powdery Mildew,Critical
Soybean,"Stunted growth, Root rot",Root Rot,Low
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Critical
Mango,"White powder on leaves, Fruit discoloration, Root rot",Powdery Mildew,Medium
Groundnut,"Premature fruit drop, Black lesions",Leaf Spot,High
Tomato,"Premature fruit drop, Yellow leaves, Brown spots on leaves",Early Blight,Critical
Cotton,"Black lesions, Water-soaked patches, Leaf curl",Bacterial Blight,Low
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Wheat,"Yellow leaves, Stunted growth",Root Rot,Medium
Soybean,"Stunted growth, Rusty orange pustules",Root Rot,High
Banana,Brown spots on leaves,Black Sigatoka,Low
